"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"455","uk_G1_700599",1,"60-69",1,1
"456","uk_G1_700600",1,"70-120",1,1
"457","uk_G1_700602",4,"50-59",4,4
"458","uk_G1_700603",1,"60-69",1,1
"459","uk_G1_700604",1,"40-49",1,1
"460","uk_G1_700605",25,"30-39",20,25
"461","uk_G1_700606",5,"70-120",5,5
"462","uk_G1_700607",4,"40-49",4,4
"463","uk_G1_700608",6,"40-49",6,6
"464","uk_G1_700609",1,"30-39",1,1
"465","uk_G1_700610",4,"60-69",4,4
"466","uk_G1_700611",7,"40-49",7,7
"467","uk_G1_700612",3,"40-49",3,3
"468","uk_G1_700613",1,"18-29",1,1
"469","uk_G1_700615",1,"70-120",1,1
"470","uk_G1_700616",1,"40-49",1,1
"471","uk_G1_700617",3,"30-39",3,3
"472","uk_G1_700618",13,"40-49",13,13
"473","uk_G1_700619",233,"30-39",20,100
"474","uk_G1_700621",2,"40-49",2,2
"475","uk_G1_700622",3,"60-69",3,3
"476","uk_G1_700624",1,"70-120",1,1
"477","uk_G1_700625",2,"60-69",2,2
"478","uk_G1_700626",13,"70-120",13,13
"479","uk_G1_700627",11,"30-39",11,11
"480","uk_G1_700628",4,"30-39",4,4
"481","uk_G1_700629",1,"60-69",1,1
"482","uk_G1_700630",2,"30-39",2,2
"483","uk_G1_700631",2,"70-120",2,2
"484","uk_G1_700632",5,"30-39",5,5
"485","uk_G1_700633",2,"60-69",2,2
"486","uk_G1_700635",3,"30-39",3,3
"487","uk_G1_700636",1,"30-39",1,1
"488","uk_G1_700637",2,"40-49",2,2
"489","uk_G1_700638",1,"60-69",1,1
"490","uk_G1_700758",3,"18-29",3,3
"491","uk_G1_700760",3,"18-29",3,3
"492","uk_G1_700761",1,"18-29",1,1
"493","uk_G1_700763",1,"30-39",1,1
"494","uk_G1_700764",2,"40-49",2,2
"495","uk_G1_700765",3,"50-59",3,3
"496","uk_G1_700766",3,"50-59",3,3
"497","uk_G1_700767",1,"60-69",1,1
"498","uk_G1_700769",3,"30-39",3,3
"499","uk_G1_700770",2,"70-120",2,2
"500","uk_G1_700771",5,"50-59",5,5
"501","uk_G1_700772",2,"50-59",2,2
"502","uk_G1_700773",1,"60-69",1,1
"503","uk_G1_700774",1,"70-120",1,1
"504","uk_G1_700775",3,"50-59",3,3
"505","uk_G1_700776",4,"18-29",4,4
"506","uk_G1_700777",6,"40-49",6,6
"507","uk_G1_700778",1,"30-39",1,1
"508","uk_G1_700779",7,"18-29",7,7
"509","uk_G1_700780",3,"30-39",3,3
"510","uk_G1_700781",204,"50-59",20,100
"511","uk_G1_700783",2,"50-59",2,2
"512","uk_G1_700784",7,"40-49",7,7
"513","uk_G1_700785",6,"18-29",6,6
"514","uk_G1_700786",2,"40-49",2,2
"515","uk_G1_700787",1,"70-120",1,1
"516","uk_G1_700788",3,"40-49",3,3
